id	cul	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6.	AC_7	AC_8	AC_9.	AC_10	AC_11	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2.EC	IRI_4.EC.	IRI_9.EC	IRI_14.EC.	IRI_18.EC.	IRI_20.EC	IRI_22.EC	IRI_3.PT.	IRI_8.PT	IRI_11.PT	IRI_15.PT.	IRI_21.PT	IRI_25.PT	IRI_28.PT	EXP_1	EXP_2	EXP_3	RHAB	FNL1	FNL2	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RATE_WITCH
41	EN1034	US	4	7	6	6	5	7	7	7	7	7	7	7	7	3	5	3	3	3	1	3	1	7	5	4	3	4	3	4	4	5	4	4	4	0	4	4	0	4	5	10	5	0	0	5	0	0	0	5	5	5	5	5	5	7	7	5	7	7	5	7	4	7	5	4	7	4	4	5	3	1	0	NA	NA	1	40	Northeast	None	US	US	SAHM	NY	Yes		Junior High School / Middle School	A
42	EN1035	US	4	7	7	5	5	4	7	7	7	6	7	7	7	5	5	4	5	5	4	5	5	6	7	7	6	7	1	4	7	1	7	4	4	4	4	4	4	4	5	5	5	5	5	9	5	8	10	10	10	10	5	9	10	7	7	7	1	7	7	7	1	7	7	1	7	5	7	5	1	1	0	NA	NA	1	40	South	Christian 	Usa	Usa	Hospitality 	Ky	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
43	EN1036	US	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	3	4	4	2	4	2	6	1	1	1	2	2	1	1	4	1	1	0	0	4	2	2	3	0	9	5	0	0	6	0	0	0	8	5	8	0	0	9	7	5	7	6	7	7	7	7	6	6	6	6	5	6	6	6	1	0	NA	NA	1	31	West	Pagan	United States	United States	Veterinary technician	Washington	Yes		Vocational School / Technical College / Communication College (Associate Degree)	B
44	EN1037	US	6	5	5	6	4	5	6	6	4	5	6	4	5	5	3	2	4	5	4	3	2	4	4	6	2	3	3	1	4	1	2	4	0	1	0	1	2	0	0	5	0	0	2	2	0	1	0	3	0	5	1	0	9	7	7	5	5	7	6	5	6	7	4	7	4	4	4	4	3	2	9	NA	NA	1	24	West	Indecisive 	United States 	United States 	In between 	California	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
45	EN1038	US	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	3	4	2	7	2	4	5	4	5	4	4	5	5	6	4	4	4	4	4	4	0	0	0	0	0	1	0	0	0	2	2	5	0	0	0	5	4	6	6	3	6	5	5	6	6	5	4	4	5	4	4	1	2	NA	NA	1	41	West	Christian	USA	USA	School Outreach Worker	CA	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
46	EN1039	US	4	7	7	7	6	6	5	7	5	5	7	4	4	4	5	4	5	3	3	4	2	6	4	4	4	5	3	1	3	5	2	4	4	4	4	4	4	4	0	5	0	0	0	6	0	5	0	5	0	5	0	0	5	7	7	7	6	7	7	7	6	5	6	4	3	5	4	2	1	1	4	NA	NA	1	27	Northeast	Christan	USA	USA	CNA	KY	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
47	EN104	US	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	5	5	5	5	5	5	7	7	7	7	1	7	7	1	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	9	10	10	10	7	1	7	1	1	7	7	1	7	7	1	7	7	7	8	7	8	7	NA	NA	1	27	South	Cathujloc	United stated	Florida	Call center 	Florida	Yes	Basic	University / College / Undergraduate School (Bachelor Degree)	A
48	EN1040	US	4	4	4	4	4	7	6	7	4	6	7	4	4	3	3	3	2	2	4	2	1	3	4	1	4	1	4	6	5	4	1	2	4	4	4	4	4	4	5	10	0	0	7	8	0	5	7	10	0	7	5	0	8	5	6	7	7	7	5	4	3	5	6	7	5	5	5	5	1	1	3	NA	NA	0	36	Midwest	Christian	U.S	U.S	Self employed 	MI	Yes		Vocational School / Technical College / Communication College (Associate Degree)	B
49	EN1041	US	1	1	1	1	1	1	1	6	1	1	6	1	1	2	3	2	4	1	1	2	1	5	4	4	1	1	4	5	4	4	2	1	2	-2	4	4	4	4	2	8	10	0	1	10	0	5	0	9	0	8	7	0	8	6	1	7	3	7	7	6	7	6	7	6	6	4	4	3	1	1	0	NA	NA	0	58	Northeast	Catholic	United States	United States	Project Manager	MA	Yes		University / College / Undergraduate School (Bachelor Degree)	A
50	EN1042	US	5	7	4	4	3	5	3	4	5	6	5	3	4	5	4	3	5	2	4	5	1	1	2	1	2	2	7	1	1	7	1	2	4	4	4	4	4	-1	7	4	10	8	5	5	4	9	8	9	10	5	5	9	8	7	1	6	4	2	6	6	4	7	3	2	6	4	4	2	2	2	4	NA	NA	1	36	Northeast	Catholic	Usa	United states	Disabled	Fl	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
